username,manga_id,user_score
NextUniverse,20379,0
NextUniverse,118227,0
NextUniverse,83657,0
NextUniverse,131403,0
NextUniverse,112988,0
NextUniverse,583,0
NextUniverse,125760,0
NextUniverse,9700,0
NextUniverse,130025,0
NextUniverse,141772,0
NextUniverse,116957,6
NextUniverse,135496,0
NextUniverse,70801,0
NextUniverse,142649,0
NextUniverse,116350,0
NextUniverse,1133,0
NextUniverse,17462,8
NextUniverse,134369,0
NextUniverse,116324,0
NextUniverse,1131,0
NextUniverse,111822,0
NextUniverse,101257,0
NextUniverse,133362,0
NextUniverse,564,0
NextUniverse,44167,0
NextUniverse,348,0
NextUniverse,105073,0
NextUniverse,45275,0
NextUniverse,1504,0
NextUniverse,91148,0
NextUniverse,4444,0
NextUniverse,145863,0
NextUniverse,11866,0
NextUniverse,127836,0
NextUniverse,102060,0
NextUniverse,119286,0
NextUniverse,112318,0
NextUniverse,14085,0
NextUniverse,137303,8
NextUniverse,37915,0
NextUniverse,117078,0
NextUniverse,109941,9
NextUniverse,26,7
NextUniverse,123270,0
NextUniverse,124834,9
NextUniverse,114120,0
NextUniverse,122880,0
NextUniverse,115122,0
NextUniverse,140074,0
NextUniverse,124483,0
NextUniverse,121502,0
NextUniverse,13881,0
NextUniverse,121213,10
NextUniverse,56923,0
NextUniverse,120367,0
NextUniverse,12316,0
NextUniverse,60815,0
NextUniverse,149863,0
NextUniverse,148353,0
NextUniverse,86204,0
NextUniverse,49473,0
NextUniverse,113210,0
NextUniverse,127907,0
NextUniverse,29651,0
NextUniverse,54817,0
NextUniverse,122869,0
NextUniverse,96046,0
NextUniverse,44155,0
NextUniverse,137126,0
NextUniverse,582,0
NextUniverse,125842,0
NextUniverse,99007,7
NextUniverse,97844,0
NextUniverse,125180,0
NextUniverse,9004,0
NextUniverse,112393,0
NextUniverse,104937,0
NextUniverse,123150,0
NextUniverse,115686,0
NextUniverse,57295,0
NextUniverse,110771,0
NextUniverse,111177,0
NextUniverse,107239,9
NextUniverse,70663,0
NextUniverse,124085,0
NextUniverse,128085,0
NextUniverse,103803,0
NextUniverse,67497,6
NextUniverse,95965,0
NextUniverse,121793,9
NextUniverse,121426,0
NextUniverse,124002,0
NextUniverse,1,7
NextUniverse,91111,0
NextUniverse,9057,0
NextUniverse,128596,8
NextUniverse,36013,0
NextUniverse,102980,0
NextUniverse,123812,0
NextUniverse,90197,0
NextUniverse,6911,0
NextUniverse,75989,0
NextUniverse,108032,0
NextUniverse,13702,0
NextUniverse,103737,0
NextUniverse,107948,0
NextUniverse,136753,0
NextUniverse,128356,0
NextUniverse,138533,10
NextUniverse,142014,0
NextUniverse,142888,0
NextUniverse,119986,0
NextUniverse,48399,0
NextUniverse,28533,10
NextUniverse,21419,0
NextUniverse,32,0
NextUniverse,132214,0
NextUniverse,165142,7
NextUniverse,13,8
NextUniverse,119792,0
NextUniverse,106682,0
NextUniverse,109878,0
NextUniverse,125137,0
NextUniverse,94097,0
NextUniverse,142140,0
NextUniverse,41769,0
NextUniverse,72719,0
NextUniverse,142030,0
NextUniverse,3438,0
NextUniverse,124004,0
NextUniverse,85027,0
NextUniverse,108424,0
NextUniverse,81823,5
NextUniverse,115688,0
NextUniverse,78523,6
NextUniverse,138475,0
NextUniverse,21676,0
NextUniverse,159771,0
NextUniverse,131334,0
NextUniverse,1571,0
NextUniverse,147092,0
NextUniverse,25012,0
NextUniverse,120403,0
NextUniverse,123519,9
NextUniverse,137982,0
NextUniverse,111276,9
NextUniverse,117851,6
NextUniverse,12671,0
NextUniverse,140868,0
NextUniverse,164769,0
NextUniverse,4576,0
NextUniverse,118289,0
NextUniverse,35691,0
NextUniverse,104464,8
NextUniverse,122653,0
NextUniverse,139831,0
NextUniverse,93516,9
NextUniverse,21467,0
NextUniverse,136568,0
NextUniverse,124845,6
NextUniverse,130024,0
NextUniverse,132552,0
NextUniverse,141294,7
NextUniverse,78537,6
NextUniverse,146966,0
NextUniverse,139395,0
NextUniverse,132532,0
NextUniverse,30779,0
NextUniverse,1744,0
NextUniverse,123681,0
NextUniverse,136592,0
NextUniverse,112807,0
NextUniverse,130755,0
NextUniverse,69047,0
NextUniverse,144267,0
NextUniverse,117332,0
NextUniverse,111996,0
NextUniverse,113409,0
NextUniverse,137812,0
NextUniverse,115806,0
NextUniverse,137041,0
NextUniverse,90993,0
NextUniverse,1320,0
NextUniverse,144154,0
NextUniverse,141833,0
NextUniverse,109330,0
NextUniverse,1471,0
NextUniverse,58141,0
NextUniverse,129656,0
NextUniverse,126479,0
NextUniverse,133139,0
NextUniverse,117982,7
NextUniverse,104565,0
NextUniverse,130154,0
NextUniverse,1487,0
NextUniverse,114003,9
NextUniverse,112336,5
NextUniverse,89562,0
NextUniverse,118088,0
NextUniverse,123956,0
NextUniverse,12585,0
NextUniverse,132962,0
NextUniverse,102987,0
NextUniverse,89553,0
NextUniverse,111343,0
NextUniverse,132678,8
NextUniverse,18258,0
NextUniverse,105182,0
NextUniverse,47921,0
NextUniverse,4258,0
NextUniverse,129418,0
NextUniverse,112694,9
NextUniverse,99595,0
NextUniverse,125255,0
NextUniverse,17910,0
NextUniverse,54,0
NextUniverse,141734,0
NextUniverse,121886,0
NextUniverse,128072,6
NextUniverse,126146,0
NextUniverse,99969,8
bulkyhog,123602,7
bulkyhog,96528,5
bulkyhog,3866,8
bulkyhog,86337,4
bulkyhog,104271,10
bulkyhog,114745,9
bulkyhog,95210,5
bulkyhog,126699,0
bulkyhog,124940,8
bulkyhog,98720,6
bulkyhog,70345,10
bulkyhog,138015,9
bulkyhog,113138,10
bulkyhog,16765,8
bulkyhog,122448,10
bulkyhog,136979,7
bulkyhog,70259,8
bulkyhog,112268,8
bulkyhog,75989,3
bulkyhog,99949,7
bulkyhog,13,10
bulkyhog,44347,8
bulkyhog,81667,6
bulkyhog,115730,9
bulkyhog,119161,10
bulkyhog,87609,5
bulkyhog,67615,6
bulkyhog,62795,8
bulkyhog,48151,4
bulkyhog,104,9
bulkyhog,126146,8
Frotsey,86337,8
Frotsey,114745,9
Frotsey,107931,10
Frotsey,118568,7
Frotsey,121480,9
Frotsey,116778,9
Frotsey,110737,8
Frotsey,113138,9
Frotsey,115848,7
Frotsey,112268,8
Frotsey,122353,7
Frotsey,153650,0
Frotsey,123649,7
Frotsey,114417,7
Frotsey,642,10
Frotsey,126146,9
sushiisawesome,129451,0
sushiisawesome,162128,0
sushiisawesome,77811,0
sushiisawesome,132500,0
sushiisawesome,104039,10
sushiisawesome,139100,0
sushiisawesome,7776,0
sushiisawesome,111953,0
sushiisawesome,123602,0
